family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
google_play,0.65,3.0,0.0,0.3333,141.3333,3.0,0.0,0.0,0.0,68.6667,0.0,0.0
google_play,0.7,3.0,0.0,0.3333,141.3333,3.0,0.0,0.0,0.0,68.6667,0.0,0.0
google_play,0.75,3.0,0.0,0.0,141.6667,3.0,0.0,0.0,0.0,68.6667,0.0,0.0
google_play,0.8,3.0,0.0,0.0,141.6667,3.0,0.0,0.0,0.0,68.6667,0.0,0.0
google_play,0.85,3.0,0.0,0.0,141.6667,3.0,0.0,0.0,0.0,68.6667,0.0,0.0
google_play,0.9,3.0,0.0,0.0,141.6667,3.0,0.0,0.0,0.0,68.6667,0.0,0.0
next,0.1,3.0,3.0,102.6667,39.0,0.0,0.0271,1.0,0.0525,68.6667,41.0,0.5943
next,0.15,3.0,3.0,83.0,58.6667,0.0,0.0349,1.0,0.067,68.6667,35.0,0.5012
next,0.2,3.0,3.0,57.6667,84.0,0.0,0.0514,1.0,0.0967,68.6667,22.3333,0.3158
next,0.25,3.0,2.6667,41.3333,100.3333,0.3333,0.0668,0.9333,0.1223,68.6667,17.6667,0.2479
next,0.3,3.0,2.3333,28.0,113.6667,0.6667,0.0786,0.6,0.1389,68.6667,12.0,0.1683
next,0.35,3.0,2.3333,23.0,118.6667,0.6667,0.0944,0.6,0.1631,68.6667,9.6667,0.1364
next,0.4,3.0,2.3333,16.3333,125.3333,0.6667,0.1246,0.6,0.2063,68.6667,7.3333,0.1034
next,0.45,3.0,2.3333,12.6667,129.0,0.6667,0.1667,0.6,0.258,68.6667,5.3333,0.076
next,0.5,3.0,2.0,8.6667,133.0,1.0,0.2576,0.5333,0.3247,68.6667,3.6667,0.0522
next,0.55,3.0,1.0,4.3333,137.3333,2.0,0.1111,0.3333,0.1667,68.6667,0.6667,0.0111
next,0.6,3.0,1.0,3.0,138.6667,2.0,0.1429,0.3333,0.2,68.6667,0.6667,0.0111
next,0.65,3.0,1.0,0.6667,141.0,2.0,0.3333,0.3333,0.3333,68.6667,0.0,0.0
next,0.7,3.0,1.0,0.6667,141.0,2.0,0.3333,0.3333,0.3333,68.6667,0.0,0.0
next,0.75,3.0,0.0,0.0,141.6667,3.0,0.0,0.0,0.0,68.6667,0.0,0.0
next,0.8,3.0,0.0,0.0,141.6667,3.0,0.0,0.0,0.0,68.6667,0.0,0.0
next,0.85,3.0,0.0,0.0,141.6667,3.0,0.0,0.0,0.0,68.6667,0.0,0.0
next,0.9,3.0,0.0,0.0,141.6667,3.0,0.0,0.0,0.0,68.6667,0.0,0.0
free,0.1,11.6667,11.6667,81.0,52.0,0.0,0.1173,1.0,0.2088,68.6667,41.3333,0.585
free,0.15,11.6667,11.6667,62.6667,70.3333,0.0,0.1511,1.0,0.2589,68.6667,32.0,0.4562
free,0.2,11.6667,11.6667,45.3333,87.6667,0.0,0.1947,1.0,0.3201,68.6667,22.3333,0.3178
free,0.25,11.6667,11.6667,36.0,97.0,0.0,0.2316,1.0,0.3697,68.6667,16.6667,0.2382
free,0.3,11.6667,11.6667,29.0,104.0,0.0,0.2775,1.0,0.4279,68.6667,11.3333,0.1582
free,0.35,11.6667,11.6667,26.0,107.0,0.0,0.312,1.0,0.4717,68.6667,9.6667,0.1324
free,0.4,11.6667,11.3333,20.3333,112.6667,0.3333,0.3525,0.9762,0.5168,68.6667,5.6667,0.0776
free,0.45,11.6667,11.3333,18.6667,114.3333,0.3333,0.3675,0.9762,0.5326,68.6667,5.0,0.0685
free,0.5,11.6667,11.3333,14.3333,118.6667,0.3333,0.4238,0.9762,0.5892,68.6667,2.0,0.0274
free,0.55,11.6667,11.3333,10.3333,122.6667,0.3333,0.5598,0.9762,0.7091,68.6667,1.3333,0.0183
free,0.6,11.6667,11.0,7.6667,125.3333,0.6667,0.7042,0.9566,0.798,68.6667,0.6667,0.0091
free,0.65,11.6667,11.0,4.6667,128.3333,0.6667,0.7874,0.9566,0.8581,68.6667,0.6667,0.0091
free,0.7,11.6667,11.0,2.3333,130.6667,0.6667,0.8986,0.9566,0.921,68.6667,0.0,0.0
free,0.75,11.6667,10.3333,0.0,133.0,1.3333,1.0,0.8494,0.9166,68.6667,0.0,0.0
free,0.8,11.6667,7.0,0.0,133.0,4.6667,1.0,0.6113,0.6923,68.6667,0.0,0.0
free,0.85,11.6667,6.0,0.0,133.0,5.6667,1.0,0.5483,0.6312,68.6667,0.0,0.0
free,0.9,11.6667,0.3333,0.0,133.0,11.3333,0.3333,0.0833,0.1333,68.6667,0.0,0.0
got,0.1,25.6667,25.6667,31.3333,87.6667,0.0,0.4871,1.0,0.6395,68.6667,19.3333,0.2708
got,0.15,25.6667,25.6667,20.0,99.0,0.0,0.5969,1.0,0.7327,68.6667,13.0,0.1801
got,0.2,25.6667,24.6667,18.3333,100.6667,1.0,0.6189,0.9634,0.7334,68.6667,12.3333,0.1689
