source_screen,candidate_count,has_close,top1_label,top1_p_close,top1_is_close,top1_correct_for_positive_screen,top1_false_close_on_negative_screen,top1_image_path,top1_bbox,top1_geometry_score
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000359_score_0.916_x176_y313_w24_h30_log__20260711_110821_25824_afk_20260711_110759_tiger_每日任務_task__000076_20260711_111124_before_tap_481_515.png.png,1,0,not_close,0.623175,0,0,0,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000359_score_0.916_x176_y313_w24_h30_log__20260711_110821_25824_afk_20260711_110759_tiger_每日任務_task__000076_20260711_111124_before_tap_481_515.png.png,,0.916
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000442_score_0.913_x329_y86_w34_h35_log__20260711_104232_40108_afk_20260711_104213_311_深淵_task__000047_20260711_104403_after_tap_927_94.png.png,1,0,not_close,0.732613,0,0,0,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000442_score_0.913_x329_y86_w34_h35_log__20260711_104232_40108_afk_20260711_104213_311_深淵_task__000047_20260711_104403_after_tap_927_94.png.png,,0.913
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000848_score_0.910_x884_y21_w16_h17_log__20260711_110821_25824_afk_20260711_110759_tiger_每日任務_task__000070_20260711_111109_before_tap_551_501.png.png,1,0,not_close,0.117589,0,0,0,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000848_score_0.910_x884_y21_w16_h17_log__20260711_110821_25824_afk_20260711_110759_tiger_每日任務_task__000070_20260711_111109_before_tap_551_501.png.png,,0.91
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\001582_score_0.899_x304_y220_w23_h23_log__20260711_102525_74772_afk_20260711_102332_em3_廣告時間沙漏_task__000015_20260711_102904_before_tap_924_33.png.png,1,0,not_close,0.726706,0,0,0,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\001582_score_0.899_x304_y220_w23_h23_log__20260711_102525_74772_afk_20260711_102332_em3_廣告時間沙漏_task__000015_20260711_102904_before_tap_924_33.png.png,,0.899
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\ad_issue_20260606_052302_roi_0.png,1,1,close,0.951356,1,1,0,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\ad_issue_20260606_052302_roi_0.png,,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\close_2.png,1,1,close,0.495656,1,1,0,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\close_2.png,,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\close_x_end.png,1,1,close,0.823450,1,1,0,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\close_x_end.png,,
