source_screen,source_session,candidate_count,has_close,top1_true_label,top1_p_close,top1_predicted_close,would_click,top1_correct_for_positive_screen,positive_screen_miss_or_abstain,correct_abstain_on_negative_screen,false_click_on_negative_screen,top1_image_path,top1_bbox,top1_geometry_score
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000397_score_0.914_x150_y261_w28_h28_log__20260711_011142_36488_afk_20260711_011124_em3_廣告時間沙漏_task__000011_20260711_011337_before_tap_925_35.png.png,20260711_011142_36488,1,0,not_close,0.644587,1,1,0,0,0,1,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000397_score_0.914_x150_y261_w28_h28_log__20260711_011142_36488_afk_20260711_011124_em3_廣告時間沙漏_task__000011_20260711_011337_before_tap_925_35.png.png,,0.914
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\001578_score_0.900_x115_y138_w22_h18_log__20260711_105900_35312_afk_20260711_105311_311_高階競技場_route_enter__000005_20260711_105908_before_tap_712_290.png.png,20260711_105900_35312,1,0,not_close,0.146179,0,0,0,0,1,0,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\001578_score_0.900_x115_y138_w22_h18_log__20260711_105900_35312_afk_20260711_105311_311_高階競技場_route_enter__000005_20260711_105908_before_tap_712_290.png.png,,0.9
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\001582_score_0.899_x304_y220_w23_h23_log__20260711_102525_74772_afk_20260711_102332_em3_廣告時間沙漏_task__000015_20260711_102904_before_tap_924_33.png.png,20260711_102525_74772,1,0,not_close,0.567117,1,1,0,0,0,1,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\001582_score_0.899_x304_y220_w23_h23_log__20260711_102525_74772_afk_20260711_102332_em3_廣告時間沙漏_task__000015_20260711_102904_before_tap_924_33.png.png,,0.899
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\ad_issue_20260606_044653_roi_0.png,20260606_044653_roi,1,1,close,0.944613,1,1,1,0,0,0,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\ad_issue_20260606_044653_roi_0.png,,
