family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
google_play,0.8,1.0,1.0,0.0,268.0,0.0,1.0,1.0,1.0,137.0,0.0,0.0
google_play,0.85,1.0,1.0,0.0,268.0,0.0,1.0,1.0,1.0,137.0,0.0,0.0
google_play,0.9,1.0,1.0,0.0,268.0,0.0,1.0,1.0,1.0,137.0,0.0,0.0
google_play,0.95,1.0,0.6667,0.0,268.0,0.3333,0.6667,0.6667,0.6667,137.0,0.0,0.0
next,0.05,2.0,2.0,159.6667,107.3333,0.0,0.0124,1.0,0.0245,137.0,83.6667,0.6107
next,0.1,2.0,2.0,109.6667,157.3333,0.0,0.0182,1.0,0.0358,137.0,54.6667,0.399
next,0.15,2.0,2.0,84.6667,182.3333,0.0,0.0231,1.0,0.0452,137.0,38.0,0.2774
next,0.2,2.0,2.0,70.6667,196.3333,0.0,0.0276,1.0,0.0537,137.0,26.3333,0.1922
next,0.25,2.0,2.0,59.0,208.0,0.0,0.033,1.0,0.0639,137.0,17.6667,0.129
next,0.3,2.0,2.0,46.0,221.0,0.0,0.0447,1.0,0.0853,137.0,14.6667,0.1071
next,0.35,2.0,2.0,39.0,228.0,0.0,0.0509,1.0,0.0967,137.0,8.6667,0.0633
next,0.4,2.0,2.0,36.3333,230.6667,0.0,0.0564,1.0,0.1062,137.0,7.6667,0.056
next,0.45,2.0,2.0,35.0,232.0,0.0,0.0585,1.0,0.1101,137.0,7.3333,0.0535
next,0.5,2.0,1.6667,30.3333,236.6667,0.3333,0.0558,0.8333,0.1041,137.0,3.6667,0.0268
next,0.55,2.0,1.6667,16.3333,250.6667,0.3333,0.1326,0.8333,0.226,137.0,0.3333,0.0024
next,0.6,2.0,1.0,14.3333,252.6667,1.0,0.1033,0.5,0.1641,137.0,0.0,0.0
next,0.65,2.0,0.0,12.6667,254.3333,2.0,0.0,0.0,0.0,137.0,0.0,0.0
next,0.7,2.0,0.0,11.6667,255.3333,2.0,0.0,0.0,0.0,137.0,0.0,0.0
next,0.75,2.0,0.0,10.6667,256.3333,2.0,0.0,0.0,0.0,137.0,0.0,0.0
next,0.8,2.0,0.0,10.3333,256.6667,2.0,0.0,0.0,0.0,137.0,0.0,0.0
next,0.85,2.0,0.0,0.6667,266.3333,2.0,0.0,0.0,0.0,137.0,0.0,0.0
next,0.9,2.0,0.0,0.0,267.0,2.0,0.0,0.0,0.0,137.0,0.0,0.0
next,0.95,2.0,0.0,0.0,267.0,2.0,0.0,0.0,0.0,137.0,0.0,0.0
free,0.05,5.0,5.0,54.0,210.0,0.0,0.0883,1.0,0.1619,137.0,27.6667,0.2019
free,0.1,5.0,3.6667,32.6667,231.3333,1.3333,0.0991,0.7333,0.1746,137.0,19.6667,0.1436
free,0.15,5.0,3.0,12.0,252.0,2.0,0.2384,0.6,0.2888,137.0,8.3333,0.0608
free,0.2,5.0,3.0,4.6667,259.3333,2.0,0.4778,0.6,0.471,137.0,3.6667,0.0268
free,0.25,5.0,2.6667,0.6667,263.3333,2.3333,0.7667,0.5333,0.6119,137.0,0.3333,0.0024
free,0.3,5.0,2.3333,0.3333,263.6667,2.6667,0.6667,0.4667,0.5463,137.0,0.3333,0.0024
free,0.35,5.0,0.3333,0.3333,263.6667,4.6667,0.3333,0.0667,0.1111,137.0,0.3333,0.0024
free,0.4,5.0,0.3333,0.0,264.0,4.6667,0.3333,0.0667,0.1111,137.0,0.0,0.0
free,0.45,5.0,0.0,0.0,264.0,5.0,0.0,0.0,0.0,137.0,0.0,0.0
free,0.5,5.0,0.0,0.0,264.0,5.0,0.0,0.0,0.0,137.0,0.0,0.0
free,0.55,5.0,0.0,0.0,264.0,5.0,0.0,0.0,0.0,137.0,0.0,0.0
free,0.6,5.0,0.0,0.0,264.0,5.0,0.0,0.0,0.0,137.0,0.0,0.0
free,0.65,5.0,0.0,0.0,264.0,5.0,0.0,0.0,0.0,137.0,0.0,0.0
free,0.7,5.0,0.0,0.0,264.0,5.0,0.0,0.0,0.0,137.0,0.0,0.0
free,0.75,5.0,0.0,0.0,264.0,5.0,0.0,0.0,0.0,137.0,0.0,0.0
free,0.8,5.0,0.0,0.0,264.0,5.0,0.0,0.0,0.0,137.0,0.0,0.0
free,0.85,5.0,0.0,0.0,264.0,5.0,0.0,0.0,0.0,137.0,0.0,0.0
free,0.9,5.0,0.0,0.0,264.0,5.0,0.0,0.0,0.0,137.0,0.0,0.0
