group,count,positives,negatives,tp,fp,tn,fn,precision,recall,fpr
asset_62c0598db37c8764,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_643bd48faa917df4,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_649ddbb0bb1f8942,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_65885cfba98a53c1,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_65b07531441c999d,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_67278f6c90140a17,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_673e1ce09b1c7183,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_6779bdb77b9a49a9,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_67f638e9c40b3b4e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_683215c4ec99223d,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_6914cba9c96f200c,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_69ff352d302c1a15,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_6a9a5185ad90c54c,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_7048eb0232135294,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_7198a0a5685d20fc,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_74df887b1fc9fcd3,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_7513f11f0e141a8c,2,2,0,2,0,0,0,1.0,1.0,0.0
asset_796034f996f30def,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_7b1a58c3ef6bea6c,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_7c5f17a308aa411d,1,0,1,0,1,0,0,0.0,0.0,1.0
asset_7d9bdc8dd83c43a3,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_7dbafd1f3c70387c,2,0,2,0,0,2,0,0.0,0.0,0.0
asset_7e41dc9f4d44bb18,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_7eb2ff12a60496b2,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_7f1142a90bc11b36,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_81d3441074ec44cd,1,0,1,0,1,0,0,0.0,0.0,1.0
asset_8263ab7cd58c1c1f,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_84ad038ea35f3ab9,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_860994ece406753d,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_86bf110180ee25d5,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_88342de1955d7710,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_88e0a852a77c9dfd,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_8a5ff267738bea2e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_8a652e4c7afbed82,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_8ac525a3ce943fd9,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_8c3a49072a19f68d,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_8c7cd6b1a0962dbc,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_8f3fcae0780b0cfe,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_9140cc7c7eee739d,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_91737887a42290bc,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_927b02d71a0d5e87,2,2,0,2,0,0,0,1.0,1.0,0.0
asset_95226a64515df17e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_98bbe20fd28f9eaa,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_9a10780f2d36ab87,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_9b6c7250bc14da7b,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_9c38c1ad838a3016,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_9dbff90d19654513,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_9e94bd7f0e647f3d,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_9f19bccef72c2c6f,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_a1dc42c183e30516,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_a530bc5f48522270,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_a5b9f062e210eb9b,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_a5bab22c5327c1c8,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_a5bd2beb08d8ed09,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_a6b2ee383b064fde,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_ab8fc03876fbdd82,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_ad9815ba2de88499,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_ae2bc8a3a56220c4,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_b1b8349382842f42,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_b1f9c1b9f8fac2f0,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_b3e20e7760a44b0a,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_b3fc26fb5e9db431,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_b621d5687082a345,1,0,1,0,1,0,0,0.0,0.0,1.0
asset_bac6666a761e1adc,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_bbc0242389e22574,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_bcdf8f34d4b084e9,4,0,4,0,0,4,0,0.0,0.0,0.0
asset_bdcd6ba35ae0445a,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_bdd4a163b32b0c59,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_be57bc3be15e4eb4,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_bf9d9734514d2cdc,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_c2979698a24e50ad,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_c2c2b8a8150ac23a,1,0,1,0,0,1,0,0.0,0.0,0.0
